text,tokens,ner_tags
"The passport application of Ms.Anjali Sharma, born on 06/10/2018, with voter ID JKR4943350 and phone number +918657189773, is currently being processed.","['The', 'passport', 'application', 'of', 'Ms.', 'Anjali', 'Sharma', ',', 'born', 'on', '06/10/2018', ',', 'with', 'voter', 'ID', 'JKR4943350', 'and', 'phone', 'number', '+918657189773', ',', 'is', 'currently', 'being', 'processed', '.']","['O', 'O', 'O', 'O', 'O', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'B-PHONE', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Indian national, residing in Abadgarh, whose date of birth is 03-04-1995, uses the email indianindian531@gmail.com and has a bank account number 72313317190.","['The', 'Indian', 'national', ',', 'residing', 'in', 'Abadgarh', ',', 'whose', 'date', 'of', 'birth', 'is', '03-04-1995', ',', 'uses', 'the', 'email', 'indianindian531@gmail.com', 'and', 'has', 'a', 'bank', 'account', 'number', '72313317190']","['O', 'B-NATIONALITY', 'O', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER']"
"The passport holder, Sharath Chandran, a male born on 10/04/2007, has an email barjrajshivani148@myblissclub.in and bank account 84575104505 with IFSC code SBIN0144425.","['The', 'passport', 'holder', ',', 'Sharath', 'Chandran', ',', 'a', 'male', 'born', 'on', '10/04/2007', ',', 'has', 'an', 'email', 'barjrajshivani148@myblissclub.in', 'and', 'bank', 'account', '84575104505', 'with', 'IFSC', 'code', 'SBIN0144425', '.']","['O', 'O', 'O', 'O', 'B-NAME', 'I-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'B-BANKIFSC', 'O']"
"The Indian citizen, whose passport number is R10 69461, resides in Abaibani and uses mf296@gmail.com; his Aadhar number is 565219274476.","['The', 'Indian', 'citizen', ',', 'whose', 'passport', 'number', 'is', 'R10', '69461', ',', 'resides', 'in', 'Abaibani', 'and', 'uses', 'mf296@gmail.com', ';', 'his', 'Aadhar', 'number', 'is', '565219274476']","['O', 'B-NATIONALITY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PASSPORT', 'I-PASSPORT', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'O', 'B-AADHAR']"
"Indian citizen Amit, born on 13/11/1961, having voter ID DVH5617222, uses barjrajshivani150@gmail.com and his PAN is CTTVG9723S.","['Indian', 'citizen', 'Amit', ',', 'born', 'on', '13/11/1961', ',', 'having', 'voter', 'ID', 'DVH5617222', ',', 'uses', 'barjrajshivani150@gmail.com', 'and', 'his', 'PAN', 'is', 'CTTVG9723S']","['B-NATIONALITY', 'O', 'B-NAME', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'B-PAN']"
"Mr. Kushal, an Indian national residing in Abbigeri, holds Aadhaar number 874484080740, voter ID AEV9843215, and can be contacted via barjrajshivani846@gmail.com or +9190956 03674.","['Mr.', 'Kushal', ',', 'an', 'Indian', 'national', 'residing', 'in', 'Abbigeri', ',', 'holds', 'Aadhaar', 'number', '874484080740', ',', 'voter', 'ID', 'AEV9843215', ',', 'and', 'can', 'be', 'contacted', 'via', 'barjrajshivani846@gmail.com', 'or', '+9190956', '03674', '.']","['O', 'B-NAME', 'O', 'O', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O', 'B-PHONE', 'I-PHONE', 'O']"
"The passport application of Kasid, a resident of Abdalpur, includes PAN AWFHS3169P, driver's license PB-4020077582678, and bank account 809368605836 with IFSC code KARB0096302.","['The', 'passport', 'application', 'of', 'Kasid', ',', 'a', 'resident', 'of', 'Abdalpur', ',', 'includes', 'PAN', 'AWFHS3169P', ',', ""driver's"", 'license', 'PB-4020077582678', ',', 'and', 'bank', 'account', '809368605836', 'with', 'IFSC', 'code', 'KARB0096302', '.']","['O', 'O', 'O', 'O', 'B-NAME', 'O', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'B-PAN', 'O', 'O', 'O', 'B-LICENSE', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'B-BANKIFSC', 'O']"
"Shiv Prakash, an Indian national, uses mf12@aristotleconsultancy.com for his online banking, accessing account 60674449956 with a CVV of 278, while his passport number is N28 32835 and his IP address is 194.48.110.184.","['Shiv', 'Prakash', ',', 'an', 'Indian', 'national', ',', 'uses', 'mf12@aristotleconsultancy.com', 'for', 'his', 'online', 'banking', ',', 'accessing', 'account', '60674449956', 'with', 'a', 'CVV', 'of', '278', ',', 'while', 'his', 'passport', 'number', 'is', 'N28', '32835', 'and', 'his', 'IP', 'address', 'is', '194.48.110.184', '.']","['B-NAME', 'I-NAME', 'O', 'O', 'B-NATIONALITY', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER', 'O', 'O', 'O', 'O', 'B-CVV', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PASSPORT', 'I-PASSPORT', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O']"
"The Indian citizen, residing in Abdullahpur, whose voter ID is OZE8671289, holds a driver's license GJ05 20004206894 and can be reached at indianindian189@electraev.com.","['The', 'Indian', 'citizen', ',', 'residing', 'in', 'Abdullahpur', ',', 'whose', 'voter', 'ID', 'is', 'OZE8671289', ',', 'holds', 'a', ""driver's"", 'license', 'GJ05', '20004206894', 'and', 'can', 'be', 'reached', 'at', 'indianindian189@electraev.com', '.']","['O', 'B-NATIONALITY', 'O', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'B-LICENSE', 'I-LICENSE', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL', 'O']"
"Sanjay, a male Indian national born on 31/05/1967, residing in Abdullanpur, holds passport B3651465 and voter ID UFQ9545479, and can be contacted at 09200552029.","['Sanjay', ',', 'a', 'male', 'Indian', 'national', 'born', 'on', '31/05/1967', ',', 'residing', 'in', 'Abdullanpur', ',', 'holds', 'passport', 'B3651465', 'and', 'voter', 'ID', 'UFQ9545479', ',', 'and', 'can', 'be', 'contacted', 'at', '09200552029']","['B-NAME', 'O', 'O', 'B-GENDER', 'B-NATIONALITY', 'I-NATIONALITY', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'B-PASSPORT', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONE']"
"Mr. Abhi, a male resident of Abdullapur, possesses voter ID AFK5065363, passport P76 36219, and driving license NL-8220227785158, and can be reached at 91 79545 60751.","['Mr.', 'Abhi', ',', 'a', 'male', 'resident', 'of', 'Abdullapur', ',', 'possesses', 'voter', 'ID', 'AFK5065363', ',', 'passport', 'P76', '36219', ',', 'and', 'driving', 'license', 'NL-8220227785158', ',', 'and', 'can', 'be', 'reached', 'at', '91', '79545', '60751', '.']","['O', 'B-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'B-PASSPORT', 'I-PASSPORT', 'O', 'O', 'O', 'O', 'B-LICENSE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONE', 'I-PHONE', 'I-PHONE', 'O']"
"Ms. Rekha, a female resident of Abdullapuram, possesses Aadhar number 371592314647, email mf245@ixfi.com, and voter ID ZTI6485938, and her driving license number is DL-3520015741554.","['Ms.', 'Rekha', ',', 'a', 'female', 'resident', 'of', 'Abdullapuram', ',', 'possesses', 'Aadhar', 'number', '371592314647', ',', 'email', 'mf245@ixfi.com', ',', 'and', 'voter', 'ID', 'ZTI6485938', ',', 'and', 'her', 'driving', 'license', 'number', 'is', 'DL-3520015741554']","['O', 'B-NAME', 'O', 'O', 'B-GENDER', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'B-VOTER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LICENSE']"
"Mr. Khadak Singh, an Indian national residing in Abdullun, holds passport W1201177, and his bank account is linked to IFSC code SBIN0008925, with ATM card number 40001664912386156 and email mf56@bourkegroup.com.au.","['Mr.', 'Khadak', 'Singh', ',', 'an', 'Indian', 'national', 'residing', 'in', 'Abdullun', ',', 'holds', 'passport', 'W1201177', ',', 'and', 'his', 'bank', 'account', 'is', 'linked', 'to', 'IFSC', 'code', 'SBIN0008925', ',', 'with', 'ATM', 'card', 'number', '40001664912386156', 'and', 'email', 'mf56@bourkegroup.com.au', '.']","['O', 'B-NAME', 'I-NAME', 'O', 'O', 'B-NATIONALITY', 'O', 'O', 'O', 'B-CITY', 'O', 'O', 'O', 'B-PASSPORT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BANKIFSC', 'O', 'O', 'O', 'O', 'O', 'B-CARDNUMBER', 'O', 'O', 'B-EMAIL', 'O']"
"Indian national Rajesh Kumar, born on 27-09-2011, uses email mf485@bombayshirts.com, has Aadhar number 188907443134 and phone number +919417278846 for banking transactions.","['Indian', 'national', 'Rajesh', 'Kumar', ',', 'born', 'on', '27-09-2011', ',', 'uses', 'email', 'mf485@bombayshirts.com', ',', 'has', 'Aadhar', 'number', '188907443134', 'and', 'phone', 'number', '+919417278846', 'for', 'banking', 'transactions', '.']","['B-NATIONALITY', 'I-NATIONALITY', 'B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-DOB', 'O', 'O', 'O', 'B-EMAIL', 'O', 'O', 'O', 'O', 'B-AADHAR', 'O', 'O', 'O', 'B-PHONE', 'O', 'O', 'O', 'O']"
